------ITER 16------
Executed 0 eps
Self Play (1/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 1 eps
Self Play (2/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 2 eps
Self Play (3/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 3 eps
Self Play (4/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 4 eps
Self Play (5/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 5 eps
Self Play (6/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 6 eps
Self Play (7/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 7 eps
Self Play (8/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 8 eps
Self Play (9/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 9 eps
Self Play (10/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
EPOCH ::: 1
Training Net (1/41) Data: 0.001s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:00 | Loss_pi: 17.6276 | Loss_v: 2.312
Training Net (3/41) Data: 0.003s | Batch: 0.010s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 15.3371 | Loss_v: 1.885
Training Net (4/41) Data: 0.002s | Batch: 0.008s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 14.2702 | Loss_v: 1.930
Training Net (5/41) Data: 0.002s | Batch: 0.007s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 14.0675 | Loss_v: 1.894
Training Net (6/41) Data: 0.002s | Batch: 0.007s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 14.7011 | Loss_v: 1.922
Training Net (7/41) Data: 0.002s | Batch: 0.006s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 15.5891 | Loss_v: 1.893
Training Net (8/41) Data: 0.002s | Batch: 0.006s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.0386 | Loss_v: 1.914
Training Net (9/41) Data: 0.002s | Batch: 0.006s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.0447 | Loss_v: 1.955
Training Net (10/41) Data: 0.002s | Batch: 0.006s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.4754 | Loss_v: 1.922
Training Net (11/41) Data: 0.002s | Batch: 0.006s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.4279 | Loss_v: 1.920
Training Net (12/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.6198 | Loss_v: 1.930
Training Net (13/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.5869 | Loss_v: 1.930
Training Net (14/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 16.8546 | Loss_v: 1.931
Training Net (15/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.1682 | Loss_v: 1.927
Training Net (16/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.5373 | Loss_v: 1.922
Training Net (17/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.4860 | Loss_v: 1.919
Training Net (18/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.7096 | Loss_v: 1.910
Training Net (19/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.6481 | Loss_v: 1.910
Training Net (20/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.7581 | Loss_v: 1.911
Training Net (21/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.6368 | Loss_v: 1.921
Training Net (22/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.0218 | Loss_v: 1.928
Training Net (23/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.1791 | Loss_v: 1.928
Training Net (24/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.0736 | Loss_v: 1.926
Training Net (25/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.9323 | Loss_v: 1.921
Training Net (26/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.8470 | Loss_v: 1.924
Training Net (27/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.9213 | Loss_v: 1.916
Training Net (28/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.9150 | Loss_v: 1.924
Training Net (29/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.9940 | Loss_v: 1.914
Training Net (30/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.0089 | Loss_v: 1.924
Training Net (31/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.0427 | Loss_v: 1.931
Training Net (32/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.1323 | Loss_v: 1.938
Training Net (33/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.2058 | Loss_v: 1.939
Training Net (34/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.2763 | Loss_v: 1.946
Training Net (35/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.3543 | Loss_v: 1.933
Training Net (36/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.3181 | Loss_v: 1.934
Training Net (37/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.4248 | Loss_v: 1.925
Training Net (38/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.4534 | Loss_v: 1.920
Training Net (39/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.4166 | Loss_v: 1.914
Training Net (40/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.3425 | Loss_v: 1.914
Training Net (41/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.2987 | Loss_v: 1.918
PITTING AGAINST PREVIOUS VERSION
NEW/PREV WINS : 0 / 10 ; DRAWS : 0
REJECTING NEW MODEL
