------ITER 17------
Executed 0 eps
Self Play (1/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 1 eps
Self Play (2/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 2 eps
Self Play (3/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 3 eps
Self Play (4/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 4 eps
Self Play (5/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 5 eps
Self Play (6/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 6 eps
Self Play (7/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 7 eps
Self Play (8/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 8 eps
Self Play (9/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
Executed 9 eps
Self Play (10/10) Eps Time: 0.000s | Total: 0:00:00 | ETA: 0:00:00
EPOCH ::: 1
Training Net (1/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:00 | Loss_pi: 14.6303 | Loss_v: 1.938
Training Net (3/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.5632 | Loss_v: 1.802
Training Net (4/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.0270 | Loss_v: 1.820
Training Net (5/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.4838 | Loss_v: 1.825
Training Net (6/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 17.9425 | Loss_v: 1.823
Training Net (7/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.2125 | Loss_v: 1.862
Training Net (8/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.5572 | Loss_v: 1.879
Training Net (9/41) Data: 0.003s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.4183 | Loss_v: 1.861
Training Net (10/41) Data: 0.003s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.4406 | Loss_v: 1.887
Training Net (11/41) Data: 0.003s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.4106 | Loss_v: 1.878
Training Net (12/41) Data: 0.003s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.2069 | Loss_v: 1.888
Training Net (13/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.4067 | Loss_v: 1.877
Training Net (14/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.1586 | Loss_v: 1.873
Training Net (15/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.2500 | Loss_v: 1.879
Training Net (16/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.3506 | Loss_v: 1.881
Training Net (17/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.1753 | Loss_v: 1.877
Training Net (18/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.2679 | Loss_v: 1.875
Training Net (19/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.2196 | Loss_v: 1.888
Training Net (20/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.3187 | Loss_v: 1.886
Training Net (21/41) Data: 0.003s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.2345 | Loss_v: 1.891
Training Net (22/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.5117 | Loss_v: 1.891
Training Net (23/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.4762 | Loss_v: 1.893
Training Net (24/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.7383 | Loss_v: 1.888
Training Net (25/41) Data: 0.002s | Batch: 0.005s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.7430 | Loss_v: 1.896
Training Net (26/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 18.9545 | Loss_v: 1.899
Training Net (27/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.1959 | Loss_v: 1.904
Training Net (28/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.4076 | Loss_v: 1.902
Training Net (29/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.4232 | Loss_v: 1.898
Training Net (30/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.6853 | Loss_v: 1.900
Training Net (31/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.5779 | Loss_v: 1.904
Training Net (32/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.5929 | Loss_v: 1.908
Training Net (33/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.5601 | Loss_v: 1.921
Training Net (34/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.5594 | Loss_v: 1.921
Training Net (35/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.4920 | Loss_v: 1.916
Training Net (36/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.4053 | Loss_v: 1.916
Training Net (37/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.2576 | Loss_v: 1.919
Training Net (38/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.2199 | Loss_v: 1.925
Training Net (39/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.2282 | Loss_v: 1.927
Training Net (40/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.2501 | Loss_v: 1.933
Training Net (41/41) Data: 0.002s | Batch: 0.004s | Total: 0:00:00 | ETA: 0:00:01 | Loss_pi: 19.1959 | Loss_v: 1.946
PITTING AGAINST PREVIOUS VERSION
NEW/PREV WINS : 4 / 6 ; DRAWS : 0
REJECTING NEW MODEL
